document,date,entorno,WordCount,SentimentGI,NegativityGI,PositivityGI,SentimentHE,NegativityHE,PositivityHE,SentimentLM,NegativityLM,PositivityLM,RatioUncertaintyLM,SentimentQDAP,NegativityQDAP,PositivityQDAP
26,2012-05-01,international,114,0.02631578947368421,0.008771929824561403,0.03508771929824561,0.02631578947368421,0.017543859649122806,0.043859649122807015,0,0.008771929824561403,0.008771929824561403,0,0,0.008771929824561403,0.008771929824561403
27,2012-05-01,national,106,-0.009433962264150943,0.03773584905660377,0.02830188679245283,0.018867924528301886,0.018867924528301886,0.03773584905660377,0,0,0,0,0.018867924528301886,0,0.018867924528301886
28,2012-05-01,national,42,0.023809523809523808,0.023809523809523808,0.047619047619047616,0,0,0,0,0,0,0,0.047619047619047616,0,0.047619047619047616
29,2012-06-01,national,33,0.030303030303030304,0,0.030303030303030304,0,0,0,0,0,0,0,0.06060606060606061,0,0.06060606060606061
30,2012-06-01,national,75,0.02666666666666667,0.02666666666666667,0.05333333333333334,-0.02666666666666667,0.02666666666666667,0,-0.013333333333333334,0.013333333333333334,0,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.02666666666666667
31,2012-06-01,international,82,-0.012195121951219513,0.04878048780487805,0.036585365853658534,0.024390243902439025,0.024390243902439025,0.04878048780487805,-0.024390243902439025,0.024390243902439025,0,0.012195121951219513,0,0.024390243902439025,0.024390243902439025
32,2012-06-01,national,92,0.010869565217391304,0.021739130434782608,0.03260869565217391,0.010869565217391304,0.010869565217391304,0.021739130434782608,0,0,0,0,0.010869565217391304,0,0.010869565217391304
33,2012-06-01,national,42,0.023809523809523808,0.023809523809523808,0.047619047619047616,0,0,0,0,0,0,0,0.047619047619047616,0,0.047619047619047616
34,2012-07-01,national,39,0,0.02564102564102564,0.02564102564102564,0,0,0,0,0,0,0,0.02564102564102564,0.02564102564102564,0.05128205128205128
35,2012-07-01,national,60,-0.016666666666666666,0.03333333333333333,0.016666666666666666,-0.03333333333333333,0.03333333333333333,0,-0.016666666666666666,0.016666666666666666,0,0,0,0.016666666666666666,0.016666666666666666
36,2012-07-01,international,87,-0.034482758620689655,0.05747126436781609,0.022988505747126436,0,0.022988505747126436,0.022988505747126436,0,0.011494252873563218,0.011494252873563218,0,0.011494252873563218,0.011494252873563218,0.022988505747126436
